"Titulo","Valor","Link"
"PlayStation 2","R$ 260","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-821639519"
"Revistas Playstation","R$ 35","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/livros-e-revistas/revistas-playstation-818014905"
"Playstation 3 ","R$ 1.000","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-821588675"
"Playstation PS3","R$ 500","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-ps3-821300963"
"PlayStation 4 ","R$ 1.500","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-821173484"
"PlayStation One","R$ 200","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-one-821509906"
"PlayStation 3","R$ 799","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-811652871"
"PlayStation 4","R$ 850","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-820972272"
"PlayStation 3","R$ 600","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-821400564"
"PlayStation 3","R$ 500","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-821287183"
"Playstation 3","R$ 1.200","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-816747300"
"Playstation 4 ","R$ 1.800","https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/videogames/playstation-4-816918132"
"Playstation 5","R$ 7.599","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-5-820800141"
"Jogos Playstation","R$ 139","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogos-playstation-820800485"
"Playstation 3","R$ 700","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-820777111"
"Playstation 4","R$ 1.350","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-821126720"
"PS3 - PlayStation ","R$ 1.100","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/ps3-playstation-821010437"
"Playstation 3 ","R$ 499","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-821634503"
"Playstation 2","R$ 300","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-820582511"
"Playstation Xbox","R$ 900","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-xbox-821486390"
"Playstation 2","R$ 250","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-820530783"
